step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,acc_x,acc_y,acc_z,heading_x,heading_y,heading_z,dist_to_obs,margin,collision,dist_to_target,progress_pct,depth_valid_pct
49,3.2667,-8.6851,0.9199,6.1602,0.2131,0.4687,-0.0541,0.5177,1.4817,1.9197,-0.7097,-0.6596,-0.7006,0.2722,2.2771,0.1732,0,1.2294,55.39,0.00
50,3.3333,-8.6676,0.9554,6.1551,0.3056,0.5892,-0.0999,0.6712,1.2934,1.6938,-0.6645,-0.6784,-0.6881,0.2576,2.2719,0.1732,0,1.1907,56.80,0.00
51,3.4000,-8.6443,0.9985,6.1469,0.3894,0.6942,-0.1428,0.8087,1.2219,1.4565,-0.6223,-0.6986,-0.6743,0.2393,2.2638,0.1732,0,1.1421,58.56,0.00
52,3.4667,-8.6156,1.0480,6.1360,0.4682,0.7880,-0.1830,0.9347,1.1415,1.3567,-0.5852,-0.7196,-0.6592,0.2182,2.2537,0.1732,0,1.0848,60.64,0.00
53,3.5333,-8.5819,1.1035,6.1225,0.5392,0.8677,-0.2217,1.0454,0.9883,1.0351,-0.5759,-0.7407,-0.6425,0.1964,2.2422,0.1732,0,1.0192,63.02,0.00
54,3.6000,-8.5437,1.1637,6.1065,0.6013,0.9325,-0.2560,1.1387,0.8728,0.9097,-0.4510,-0.7611,-0.6244,0.1756,2.2300,0.1732,0,0.9470,65.64,0.00
55,3.6667,-8.5017,1.2279,6.0884,0.6563,0.9866,-0.2868,1.2192,0.7790,0.7139,-0.4732,-0.7804,-0.6052,0.1568,2.2181,0.1732,0,0.8690,68.47,0.00
56,3.7333,-8.4562,1.2952,6.0682,0.7070,1.0265,-0.3132,1.2852,0.7425,0.4824,-0.3186,-0.7984,-0.5858,0.1394,2.2032,0.1732,0,0.7860,71.48,0.00
57,3.8000,-8.4075,1.3647,6.0466,0.7514,1.0543,-0.3311,1.3363,0.5873,0.3522,-0.2193,-0.8147,-0.5669,0.1221,2.1724,0.1732,0,0.6992,74.63,0.00
58,3.8667,-8.3561,1.4358,6.0241,0.7882,1.0716,-0.3458,1.3744,0.5176,0.1647,-0.2225,-0.8293,-0.5491,0.1042,2.1411,0.1732,0,0.6097,77.88,0.00
59,3.9333,-8.3024,1.5076,6.0005,0.8182,1.0784,-0.3593,1.4005,0.3818,0.0420,-0.1806,-0.8419,-0.5329,0.0849,2.1113,0.1732,0,0.5182,81.20,0.00
